이미지,이름,영문이름,종류,가격,당도,바디,품종,아로마1,아로마2,아로마3
https://wine21.speedgabia.com/WINE_MST/TITLE/0162000/W0162099.jpg,루스토 페드로 히메네즈 산 에밀리오 솔레라 레세르바,Lustau Pedro Ximenez San Emilio Solera Reserva,주정강화,5,5,5,페드로 히메네스,사과,오크통, 
https://wine21.speedgabia.com/WINE_MST/TITLE/0162000/W0162098.jpg,루스토 올로로소 돈 누뇨 솔레라 레세르바,Lustau Oloroso Don Nuno Solera Reserva,주정강화,5,1,5,팔로미노,숙성,아몬드,오크통
https://wine21.speedgabia.com/WINE_MST/TITLE/0162000/W0162097.jpg,루스토 이스트 인디아 솔레라,Lustau East India Solera,주정강화,3,5,5,블렌디드,숙성,오크통, 
https://wine21.speedgabia.com/WINE_MST/TITLE/0162000/W0162096.jpg,루스토 아몬띠야도 로스 아르코스 솔레라 레세르바,Lustau Amontillado Los Arcos Solera Reserva,주정강화,3,1,5,팔로미노,사과,아몬드, 
https://wine21.speedgabia.com/WINE_MST/TITLE/0161000/W0161815.jpg,쏜 클락 18 Year Old 토니,Thorn Clarke 18 Year Old Tawny,주정강화,13,5,5,블렌디드,사과,오크통, 
https://wine21.speedgabia.com/WINE_MST/TITLE/0161000/W0161587.jpg,페드로 히메네즈 아나다,Pedro Ximenez Anada,주정강화,10,5,5,페드로 히메네스,레몬,말린과일,사과
https://wine21.speedgabia.com/WINE_MST/TITLE/0161000/W0161586.jpg,페드로 히메네즈 솔레라 1927,Pedro Ximenez Solera 1927,주정강화,11,5,5,페드로 히메네스,말린과일,숙성,오크통
https://wine21.speedgabia.com/WINE_MST/TITLE/0161000/W0161504.jpg,산다라 프리미엄 상그리아,Sandara Premium Sangria,기타,3,3,2,블렌디드,꽃,레몬,베리
https://wine21.speedgabia.com/WINE_MST/TITLE/0161000/W0161246.jpg,빅토리아 토니,Victoria Tawny,주정강화,5,5,4,블렌디드,레몬,베리,오크통
https://wine21.speedgabia.com/WINE_MST/TITLE/0161000/W0161072.jpg,아몬티야도 나폴레옹,Amontillado Napoleon,주정강화,6,1,5,팔로미노,숙성,시나몬,오크통
https://wine21.speedgabia.com/WINE_MST/TITLE/0161000/W0161071.jpg,크림 이레다 데 이달고,Cream Heredad de Hidalgo,주정강화,4,5,5,블렌디드,말린과일, , 
https://wine21.speedgabia.com/WINE_MST/TITLE/0161000/W0161070.jpg,만사니아 라 히타나,Manzanilla La Gitana,주정강화,4,1,5,팔로미노,레몬,사과,시나몬
https://wine21.speedgabia.com/WINE_MST/TITLE/0160000/W0160928.jpg,팔라치오 델 카르멘 상그리아,Palacio del Carmen Sangria,기타,1,3,2,블렌드,레몬,베리, 
https://wine21.speedgabia.com/WINE_MST/TITLE/0160000/W0160899.jpg,주스티노스 마데이라 콜헤이타,Justino's Madeira Colheita,주정강화,15,5,5,틴타 네그라 몰레,오크통, , 
https://wine21.speedgabia.com/WINE_MST/TITLE/0160000/W0160897.jpg,주스티노스 마데이라 말바시아 10년,Justino's Madeira Malvasia 10 Years Old,주정강화,13,5,5,말바시아,오크통, , 
https://wine21.speedgabia.com/WINE_MST/TITLE/0160000/W0160896.jpg,주스티노스 마데이라 베르델호 10년,Justino's Madeira Verdelho 10 Years Old,주정강화,13,2,5,베르데호,꽃,사과,숙성
https://wine21.speedgabia.com/WINE_MST/TITLE/0160000/W0160895.jpg,주스티노스 마데이라 보알 10년,Justino's Madeira Boal 10 Years Old,주정강화,13,4,4,보발,오크통, , 
https://wine21.speedgabia.com/WINE_MST/TITLE/0160000/W0160894.jpg,주스티노스 마데이라 올드 리저브 파인 미디엄 리치 10년,Justino's Madeira Old Reserve Fine Medium Rich 10 Years Old,주정강화,11,4,5,틴타 네그라 몰레,레몬,오크통, 
https://wine21.speedgabia.com/WINE_MST/TITLE/0160000/W0160893.jpg,주스티노스 마데이라 올드 리저브 파인 미디엄 드라이 10년,Justino's Madeira Old Reserve Fine Medium Dry 10 Years Old,주정강화,11,2,5,틴타 네그라 몰레,레몬,숙성,아몬드
https://wine21.speedgabia.com/WINE_MST/TITLE/0160000/W0160892.png,주스티노스 마데이라 리저브 파인 미디엄 리치 5년,Justino's Madeira Reserve Fine Medium Rich 5 Years Old,주정강화,7,4,4,틴타 네그라 몰레,레몬,숙성, 
https://wine21.speedgabia.com/WINE_MST/TITLE/0160000/W0160891.png,주스티노스 마데이라 리저브 파인 미디엄 드라이 5년,Justino's Madeira Reserve Fine Medium Dry 5 Years Old,주정강화,7,2,5,틴타 네그라 몰레,레몬,숙성,아몬드
https://wine21.speedgabia.com/WINE_MST/TITLE/0160000/W0160890.png,주스티노스 마데이라 파인 미디엄 리치 3년,Justino's Madeira Fine Medium Rich 3 Years Old,주정강화,5,5,5,틴타 네그라 몰레,오크통, , 
