이미지,이름,영문이름,종류,가격,당도,바디,품종,아로마1,아로마2,아로마3
https://wine21.speedgabia.com/WINE_MST/TITLE/0169000/W0169879.png,시에라 깐따브리아 블랑코,Sierra Cantabria Blanco,화이트,3,1,1,블렌디드,레몬,사과,시나몬
https://wine21.speedgabia.com/WINE_MST/TITLE/0169000/W0169873.png,1000스토리 샤도네이,1000 Stories Chardonnay,화이트,3,1,1,샤르도네,사과,시나몬,오크통
https://wine21.speedgabia.com/WINE_MST/TITLE/0169000/W0169870.png,브레짜 랑게 샤르도네,Brezza Langhe Chardonnay,화이트,5,1,2,샤르도네,레몬,파인애플, 
https://wine21.speedgabia.com/WINE_MST/IMAGE/0169000/T0169818_002.png,얄리 그랑 레세르바 샤도네이 에코 프렌들리,Yali Gran Reserva Chardonnay Eco Friendly,화이트,5,1,1,샤르도네,돌,사과,오크통
https://wine21.speedgabia.com/WINE_MST/TITLE/0169000/W0169798.png,복 샤르도네,Bock Chardonnay,화이트,4,1,2,샤르도네,오크통, , 
https://wine21.speedgabia.com/WINE_MST/TITLE/0169000/W0169526.png,아소르스 뷸카니코 블랑코,Azores Vulcanico Branco,화이트,7,1,2,블렌디드,돌,파인애플, 
https://wine21.speedgabia.com/WINE_MST/TITLE/0169000/W0169333.png,도멘 지로 상세르,Domaine Girault Sancerre,화이트,5,1,1,소비뇽 블랑,사과,파인애플, 
https://wine21.speedgabia.com/WINE_MST/TITLE/0169000/W0169331.png,샤또 드 발라공 소비뇽 블랑 뚜렌,Chateau de Vallagon Sauvignon Blanc Touraine,화이트,4,1,1,소비뇽 블랑,레몬,사과, 
https://wine21.speedgabia.com/WINE_MST/TITLE/0169000/W0169330.png,도멘 뒤 그랑 세프 소비뇽 블랑 뚜렌,Domaine du Grand Cerf Sauvignon Blanc Touraine,화이트,4,1,1,소비뇽 블랑,레몬, , 
https://wine21.speedgabia.com/WINE_MST/TITLE/0169000/W0169329.png,360 루아르 소비뇽 블랑 발 데 루아르,360 Loire Sauvignon Blanc Val de Loire,화이트,3,1,1,소비뇽 블랑,꽃,돌,레몬
https://wine21.speedgabia.com/WINE_MST/TITLE/0169000/W0169320.png,스텔라 벨라 샤도네이,Stella Bella Chardonnay,화이트,7,1,1,샤르도네,돌,레몬,사과
https://wine21.speedgabia.com/WINE_MST/IMAGE/0169000/T0169318_002.png,스커틀버트 소비뇽 블랑-세미용,Skuttlebutt Sauvignon Blanc-Semillon,화이트,5,1,1,블렌디드,돌,레몬,사과
https://wine21.speedgabia.com/WINE_MST/TITLE/0169000/W0169303.png,프레익소 리저브 화이트,Freixo Reserve White,화이트,12,1,2,블렌디드,레몬,사과,허브
https://wine21.speedgabia.com/WINE_MST/TITLE/0169000/W0169302.png,프레익소 테루아 화이트,Freixo Terroir White,화이트,7,1,1,블렌디드,레몬,사과, 
https://wine21.speedgabia.com/WINE_MST/TITLE/0169000/W0169298.png,프렌치 비치스 콜린 다무르,French Beaches Colline d'Amour,화이트,9,3,2,블렌디드,레몬,사과,숙성
https://wine21.speedgabia.com/WINE_MST/TITLE/0169000/W0169297.png,프렌치 비치스 제스티 화이트,French Beaches Zesty White,화이트,4,1,1,블렌디드,꽃,레몬,사과
https://wine21.speedgabia.com/WINE_MST/TITLE/0169000/W0169296.png,도멘 티베르 푸이 퓌세 헤리티지,Domaine Thibert Pouilly Fuisse Heritage,화이트,14,1,4,샤르도네,꽃,레몬,사과
https://wine21.speedgabia.com/WINE_MST/TITLE/0169000/W0169295.png,도멘 티베르 마콩 베르제,Domaine Thibert Macon Verze,화이트,8,1,2,샤르도네,레몬,사과,오크통
https://wine21.speedgabia.com/WINE_MST/TITLE/0169000/W0169285.png,미셸 프루니에 오세-뒤레스 블랑,Michel Prunier Auxey-Duresses Blanc,화이트,14,1,2,샤르도네,돌,레몬,사과
https://wine21.speedgabia.com/WINE_MST/TITLE/0169000/W0169284.png,미셸 프루니에 부르고뉴 샤도네이,Michel Prunier Bourgogne Chardonnay,화이트,8,1,1,샤르도네,레몬,사과,오크통
https://wine21.speedgabia.com/WINE_MST/TITLE/0169000/W0169280.png,투썩 점퍼 '사슴' 리슬링,Tussock Jumper 'Dear' Riesling,화이트,3,1,2,리슬링,레몬, , 
https://wine21.speedgabia.com/WINE_MST/TITLE/0169000/W0169278.png,소호 '페기' 소비뇽 블랑,Soho 'Peggy' Sauvignon Blanc,화이트,5,1,1,소비뇽 블랑,꽃,레몬,베리
https://wine21.speedgabia.com/WINE_MST/TITLE/0169000/W0169276.png,텍스트북 나파 소비뇽 블랑,Textbook Napa Sauvignon Blanc,화이트,9,1,1,소비뇽 블랑,꽃,돌,레몬
https://wine21.speedgabia.com/WINE_MST/IMAGE/0169000/T0169273_003.png,핀카 바카라 예야,Finca Bacara Yeya,화이트,4,1,3,블렌디드,레몬,숙성,파인애플
https://wine21.speedgabia.com/WINE_MST/IMAGE/0169000/T0169267_002.png,크리머리 샤도네이,Creamery Chardonnay,화이트,6,1,3,샤르도네,레몬,사과,파인애플
https://wine21.speedgabia.com/WINE_MST/IMAGE/0169000/T0169265_002.png,실버 라이닝 샤도네이,Silver Lining Chardonnay,화이트,3,1,2,샤르도네,레몬,오크통,크로와상
https://wine21.speedgabia.com/WINE_MST/IMAGE/0169000/T0169262_002.png,아다라스 유비아,Adaras Lluvia,화이트,3,1,1,블렌디드,사과,파인애플, 
https://wine21.speedgabia.com/WINE_MST/IMAGE/0169000/T0169258_002.png,노떼 로사 베르멘티노 살렌토,Notte Rossa Vermentino Salento,화이트,2,1,2,베르멘티노,돌,레몬,허브
